date_time_IST,x_axis,y_axis,z_axis,x_gyro,y_gyro,z_gyro,acc,gyro
2022-09-18 21:44:50,0.89304,-0.08589,1.83927,-0.00977,0,0.00733,2.046414344,2.046427471
2022-09-18 21:44:52,0.88914,-0.07515,1.84708,-0.00977,0.00122,0.00733,2.05132201,2.051335469
2022-09-18 21:44:55,0.88767,-0.08589,1.84171,-0.01344,0.00367,0.00367,2.046272427,2.046279009
2022-09-18 21:44:57,0.89841,-0.08052,1.85294,-0.00977,0.00122,0.00977,2.060827659,2.060851179
2022-09-18 21:45:01,0.88328,-0.0893,1.84366,-0.00977,0,0.00733,2.046274723,2.046287852
2022-09-18 21:45:02,0.88523,-0.07759,1.84269,-0.011,0.00122,0.00855,2.045766066,2.045784297
2022-09-18 21:45:03,0.89402,-0.08296,1.84366,-0.00855,-0.00122,0.00611,2.050667286,2.050676751
2022-09-18 21:45:05,0.88718,-0.09028,1.84464,-0.00855,0,0.00611,2.04888642,2.04889553
2022-09-18 21:45:09,0.88914,-0.0854,1.8383,-0.00855,-0.00122,0.00733,2.043822397,2.043835905
2022-09-18 21:45:10,0.88523,-0.08198,1.83927,-0.00977,0.00244,0.00855,2.042857559,2.042876908
2022-09-18 21:45:12,0.8906,-0.07613,1.84513,-0.00855,0.00122,0.00733,2.050236292,2.050249758
2022-09-18 21:45:13,0.88718,-0.08247,1.83927,-0.00855,0.00122,0.00733,2.043723021,2.04373653
2022-09-18 21:45:14,0.88718,-0.08491,1.84464,-0.00855,0.00244,0.00611,2.048656826,2.04866739
2022-09-18 21:45:16,0.89206,-0.07613,1.84269,-0.00977,0.00244,0.00489,2.048675976,2.048683265
2022-09-18 21:43:09,0.89255,-0.09565,1.84513,-0.00855,0.00367,0.00733,2.051901348,2.051917722
2022-09-18 21:43:11,0.88865,-0.08052,1.83683,-0.00977,0,0.00611,2.042088818,2.042097959
2022-09-18 21:43:14,0.89597,-0.08735,1.84562,-0.00977,0.00244,0.00733,2.05346182,2.053476353
2022-09-18 21:43:18,0.89158,-0.08296,1.84659,-0.00977,0,0.00733,2.052240699,2.052253789
2022-09-18 21:43:20,0.89987,-0.08979,1.8422,-0.00855,0.00122,0.00611,2.052201038,2.052210496
2022-09-18 21:43:22,0.89402,-0.08247,1.84464,-0.011,0,0.00489,2.051528647,2.051534475
2022-09-18 21:43:24,0.88279,-0.07759,1.84122,-0.00977,0.00122,0.00733,2.043386767,2.043400278
2022-09-18 21:43:27,0.90036,-0.08003,1.83,-0.00977,0.00122,0.00733,2.041066616,2.041080142
2022-09-18 21:43:28,0.88914,-0.07466,1.84464,-0.00977,0.00244,0.00611,2.049107314,2.049117876
2022-09-18 21:43:31,0.88865,-0.08198,1.83342,-0.00855,0,0.00733,2.039080293,2.039093467
2022-09-18 21:43:33,0.88377,-0.08638,1.83781,-0.00855,0,0.00611,2.04109199,2.041101136
2022-09-18 21:43:35,0.89011,-0.08638,1.84415,-0.00977,0,0.00733,2.049547886,2.049560994
2022-09-18 21:43:40,0.88816,-0.08784,1.83927,-0.00855,0,0.00611,2.04437232,2.044381451
2022-09-18 21:43:42,0.88865,-0.07369,1.84708,-0.00855,0.00244,0.00977,2.051056695,2.051081415
2022-09-18 21:43:44,0.8906,-0.09077,1.84269,-0.00977,0.00122,0.00611,2.048637105,2.04864658
2022-09-18 21:43:45,0.89402,-0.08296,1.83244,-0.00977,0.00122,0.00611,2.040585817,2.040595329
2022-09-18 21:43:47,0.88328,-0.08101,1.83634,-0.00855,0.00244,0.00733,2.039335866,2.039350499
2022-09-18 21:43:50,0.89353,-0.07418,1.84659,-0.00977,0.00122,0.00733,2.052752582,2.052766031
2022-09-18 21:43:51,0.8906,-0.08052,1.84562,-0.00977,0.00244,0.00611,2.050844951,2.050855505
